CPUID Family_Model,Stepping,Code Name(s) / Microarchitecture(s),CPUID,MCU Update,Sub-Page Permission - CVE-2024-36242 - INTEL-SA-01196,Running Average Power Limit Derivative (RAPL) - CVE-2024-23984 - INTEL SA-01103,Machine Check Error Avoidance Derivative - CVE-2024-25939 - INTEL-SA-01118,Register File Data Sampling (RFDS) (Floating Point/Integer / Single Instruction/Multiple Data) - CVE-2023-28746 - INTEL-SA-00898,Trusted Execution Configuration Register Access - CVE-2023-22655 - INTEL-SA-00960,Incomplete Branch Prediction Barrier - CVE-2023-38575 - INTEL-SA-00982,Bus Lock Regulator - CVE-2023-39368 - INTEL-SA-00972,Redundant Prefix Issue (Reptar) - CVE-2023-23583 - INTEL-SA-00950,Gather Data Samping (GDS) - CVE-2022-40982 - INTEL-SA-00828,Post-barrier Return Stack Buffer Predictions - CVE-2022-26373 - INTEL-SA-00706,Stale Data Read from Legacy xAPIC - CVE-2022-21233 CVE-2022-38090 - INTEL-SA-00657 -Intel-SA-00767,Return Stack Buffer Underflow (RSBU) RSB Alternate Behavior (RSBA) - CVE-2022-29901 - INTEL-SA-00702,Return Stack Buffer Underflow (RSBU) Restricted RSB Alternate Behavior (RRSBA) - CVE-2022-28693 - INTEL-SA-00707,MMIO: Device Register Partial Write (DRPW) - CVE-2022-21166 - INTEL-SA-00615,MMIO: Shared Buffers Data Sampling (SBDS) - CVE-2022-21125 - INTEL-SA-00615 - Shared Buffers Data Read (SBDR) - CVE-2022-21123 - INTEL-SA-00615,Undefined MMIO Hang (UMH) - CVE-2022-2118 - INTEL-SA-00645,Branch History Injection (BHI) - CVE-2022-0001 - INTEL-SA-00598,Intra-Mode BTI - CVE-2022-0002 - INTEL-SA-00598,Fast Store Forwarding Predictor: Cross Domain - CVE-2021-0145 - INTEL-SA-00561,Missing Page Fault - CVE-2021-33120 - INTEL-SA-00589,Speculative Code Store Bypass (SCSB) - CVE-2021-0089 - INTEL-SA-00516,Floating Point Value Injection (FPVI) - CVE-2021-0086 - INTEL-SA-00516,IBRS Guest/Host - CVE-2020-24511 - INTEL-SA-00464,Influence of Trivial Data Value in Cache Policy - CVE-2020-24512 - INTEL-SA-00464,Atom Processor Domain ByPass - CVE-2020-24513 - INTEL-SA-00465,Running Average Power Limit (RAPL/Platypus) - CVE-2020-8695 INTEL-SA-00389,Fast Store Forwarding Predictor: Cross Thread - CVE-2020-8698 INTEL-SA-00381,Special Register Buffer Data Sampling - CVE-2020-0543 - INTEL-SA-00320 - SRBDS Update - CVE-2022-21127 - INTEL-SA-00666,Snoop-assisted L1D Sampling - CVE-2020-0550 - INTEL-SA-00330,Load Value Injection: Zero Data - CVE-2020-0551 - INTEL-SA-00334,Load Value Injection: Stale Data - CVE-2020-0551 - INTEL-SA-00334,L1D Eviction Sampling - CVE-2020-0549 - INTEL-SA-00329,Vector Register Sampling Active - CVE-2020-8696 - INTEL-SA-00381,Vector Register Sampling - CVE-2020-0548 - INTEL-SA-00329,Machine Check Error Avoidance - CVE-2018-12207 - INTEL-SA-00210,TSX Asynchronous Abort (TAA) - CVE-2019-11135 - INTEL-SA-00270,SWAPGS - CVE-2019-1125,Microarchitectural Load Port Data Sampling (Zombieload/RIDL/Fallout) - CVE-2018-12127 - INTEL-SA-00233,Microarchitectural Store Buffer Data Sampling (Zombieload/RIDL/Fallout) - CVE-2018-12126 - INTEL-SA-00233,Microarchitectural Fill Buffer Data Sampling (Zombieload/RIDL/Fallout) - CVE-2018-12130 - INTEL-SA-00233,L1 Terminal Fault (L1TF/Foreshadow) - CVE-2018-3615 - CVE-2018-3620 - CVE-2018-3646 - INTEL-SA-00161,Speculative Store Bypass (Spectre v4) - CVE-2018-3639 - INTEL-SA-00115,Rogue System Register Read (Spectre v3a):RDMSR - CVE-2018-3640 - INTEL-SA-00115,Rogue Data Cache Load (Meltdown) - CVE-2017-5754 - INTEL-SA-00088,Branch Target Injection (Spectre v2) - CVE-2017-5715 - INTEL-SA-00088,Bounds Check Bypass (Spectre v1) - CVE-2017-5753 - INTEL-SA-00088
06_56H,5,1. Broadwell DE A1 - 2. Hewitt Lake (Broadwell DE),50665,e000015,Not Affected,Not Affected,Not Affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,MCU+Software,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Software,Not affected,Not affected,Not affected,No planned mitigation,Not affected,Not affected,No planned mitigation,No planned mitigation,No planned mitigation,Not affected,Not affected,Not affected,Software,MCU+Software,Software,MCU+Software,MCU+Software,MCU+Software,MCU+Software,MCU+Software,MCU,Software,MCU+Software,Software
06_5CH,A,Apollo Lake,506CA,0x28,Not Affected,Not Affected,Not Affected,MCU+Software,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Software,Software,Not affected,Not affected,MCU,MCU,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,MCU+Software,Not affected,Not affected,MCU+Software,Software
06_5EH,3,1. Skylake Xeon E3 - 2. Skylake H - 3. Skylake S,506E3,0xf6,Not Affected,Not Affected,Not Affected,Not affected,Not affected,Not affected,Not affected,Not affected,MCU,Not affected,Not affected,Software,Not affected,MCU+Software,MCU+Software,MCU+Software,Not affected,Not affected,Not affected,Not affected,Software,Software,Not affected,MCU,Not affected,MCU,Not affected,MCU+Software,Not affected,Software,Software,MCU,MCU+Software,MCU+Software,Software,MCU+Software,Software,MCU+Software,MCU+Software,MCU+Software,MCU+Software,MCU+Software,MCU,Software,MCU+Software,Software
06_5FH,All,Denverton (Goldmont),506F1,0x3e,Not Affected,Not Affected,Not Affected,MCU+Software,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Software,Software,Not affected,Not affected,MCU,MCU,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,MCU+Software,Not affected,Not affected,MCU+Software,Software
06_6AH,6,Ice Lake Xeon-SP,606A6,0d0003E7,Software,MCU,Not Affected,Not affected,BIOS+MCU,Not affected,Not affected,MCU,MCU,Software,MCU+Software,Not affected,Not affected,MCU+Software,Not affected,Not affected,Software,Software,Not affected,Not affected,Software,Software,Not affected,Not affected,Not affected,MCU,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,Hardware+Software,Not affected,Not affected,Hardware+Software,Software
06_6CH,All,Ice Lake Xeon D,606C1,10002B0,Software,MCU,Not Affected,Not affected,BIOS+MCU,Not affected,Not affected,MCU,MCU,Software,MCU+Software,Not affected,Not affected,MCU+Software,Not affected,Not affected,Software,Software,Not affected,Not affected,Software,Software,Not affected,Not affected,Not affected,MCU,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,Hardware+Software,Not affected,Not affected,Hardware+Software,Software
06_7AH,1,Gemini Lake,706A1,0x40,Not Affected,Not Affected,Not Affected,MCU_BIOS+Software,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Software,Not affected,Not affected,Software,Software,Not affected,Not affected,MCU,MCU,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,MCU+Software,Not affected,Software,MCU+Software,Software
06_7AH,8,Gemini Lake,706A8,0x24,Not Affected,Not Affected,Not Affected,MCU_BIOS+Software,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Software,Not affected,Not affected,Software,Software,Not affected,Not affected,MCU,MCU,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,Hardware+Software,Not affected,Not affected,MCU+Software,Software
06_7EH,5,Ice Lake U Ice Lake Y,706E5,0xc6,Not affected,Not affected,Not Affected,Not affected,Not affected,Not affected,Not affected,MCU,MCU,Software,Software,Not affected,Software,MCU+Software,MCU+Software,Not affected,Software,Software,MCU,Not affected,Software,Software,MCU,MCU,Not affected,MCU,MCU,Not affected,Not affected,Not affected,Hardware+MCU,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Hardware+MCU,Not affected,Not affected,Hardware+Software,Not affected,Not affected,Hardware+Software,Software
06_86H,5,Snow Ridge (Tremont),80665,4c000026,Not Affected,Not Affected,Not Affected,No planned mitigation,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,MCU+Software,Not affected,Not affected,Software,Software,Not affected,MCU,Software,Software,Not affected,Not affected,MCU,MCU,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,MCU+Software,Not affected,Not affected,Hardware+Software,Software
06_86H,7,Parker Ridge/ Snow Ridge,80667,4c000026,Not Affected,Not Affected,Not Affected,MCU+Software,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,MCU+Software,Not affected,Not affected,Software,Software,Not affected,MCU,Software,Software,Not affected,Not affected,Not affected,MCU,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,MCU+Software,Not affected,Not affected,Hardware+Software,Software
06_8CH,1,Tiger Lake U,806C1,0xb8,Not Affected,Not Affected,Not Affected,Not affected,Not affected,Not affected,Not affected,MCU,MCU,Software,Software,Not affected,Not affected,Not affected,MCU,Not affected,Software,Software,MCU,Not affected,Software,Software,Not affected,MCU,Not affected,MCU,MCU,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,Hardware+Software,Not affected,Not affected,Hardware+Software,Software
06_8CH,1,Tiger Lake U,806C1,0xb8,Not Affected,Not Affected,Not Affected,Not affected,Not affected,Not affected,Not affected,MCU,MCU,Software,Software,Not affected,Not affected,MCU_BIOS+BIOS,MCU_BIOS+BIOS,Not affected,Software,Software,MCU,Not affected,Software,Software,Not affected,MCU,Not affected,MCU,MCU,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,Hardware+Software,Not affected,Not affected,Hardware+Software,Software
06_8CH,2,1. Tiger Lake U Refresh - 2. Tiger Lake H35,806C2,0x38,Not Affected,Not Affected,Not Affected,Not affected,Not affected,Not affected,Not affected,MCU,MCU,Software,Software,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Software,MCU,Not affected,Software,Software,Not affected,MCU,Not affected,Not affected,MCU,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,Hardware+Software,Not affected,Not affected,Hardware+Software,Software
06_8DH,1,Tiger Lake H,806D1,0x52,Not Affected,Not Affected,Not Affected,Not affected,Not affected,Not affected,Not affected,MCU,MCU,Software,Software,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Software,Not affected,Not affected,Software,Software,Not affected,Not affected,Not affected,MCU,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,Hardware+Software,Not affected,Not affected,Hardware+Software,Software
06_8DH,1,Tiger Lake H,806D1,0x52,Not Affected,Not Affected,Not Affected,Not affected,Not affected,Not affected,Not affected,MCU,MCU,Software,Software,Not affected,Not affected,MCU_BIOS+BIOS,Not affected,Not affected,Software,Software,Not affected,Not affected,Software,Software,Not affected,Not affected,Not affected,MCU,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,Hardware+Software,Not affected,Not affected,Hardware+Software,Software
06_8EH,9,1. Amber Lake-Y - 2. Kaby Lake U - 3. Kaby Lake U23e - 4. Kaby Lake Y,806E9,0xf6,Not Affected,Not Affected,Not Affected,Not affected,Not affected,Not affected,Not affected,Not affected,MCU,Not affected,Not affected,Software,Not affected,MCU+Software,MCU+Software,Software,Not affected,Not affected,Not affected,Not affected,Software,Software,Not affected,MCU,Not affected,MCU,Not affected,MCU,Not affected,Software,Software,MCU,MCU+Software,MCU+Software,Software,MCU+Software,Software,MCU+Software,MCU+Software,MCU+Software,MCU+Software,MCU+Software,MCU,Software,MCU+Software,Software
06_8EH,A,1. Coffee Lake U43e - 2. Kaby Lake Refresh U,806EA,0xf6,Not Affected,Not Affected,Not Affected,Not affected,Not affected,Not affected,Not affected,Not affected,MCU,Not affected,Not affected,Software,Not affected,MCU+Software,MCU+Software,Software,Not affected,Not affected,Not affected,Not affected,Software,Software,Not affected,MCU,Not affected,MCU,Not affected,MCU+Software,Not affected,Software,Software,MCU,MCU+Software,MCU+Software,Software,MCU+Software,Software,MCU+Software,MCU+Software,MCU+Software,MCU+Software,MCU+Software,MCU,Software,MCU+Software,Software
06_8EH,B,Whiskey Lake U,806EB,0xf6,Not Affected,Not Affected,Not Affected,Not affected,Not affected,Not affected,Not affected,Not affected,MCU,Not affected,Not affected,Software,Not affected,MCU+Software,MCU+Software,Software,Not affected,Not affected,Not affected,Not affected,Software,Software,Not affected,MCU,Not affected,MCU,Not affected,MCU+Software,Not affected,Software,Software,MCU,MCU+Software,MCU+Software,Software,MCU+Software,Software,MCU+Software,MCU+Software,MCU+Software,Not affected,MCU+Software,MCU,Not affected,MCU+Software,Software
06_8EH,C,1. Whiskey Lake U - 2. Comet Lake U42 - 3. Amber Lake Y,806EC,0xfc,Not Affected,Not Affected,Not Affected,Not affected,Not affected,Not affected,Not affected,Not affected,MCU,Software,Not affected,Not affected,Software,MCU+Software,MCU+Software,Software,Software,Software,Not affected,Not affected,Software,Software,MCU,MCU,Not affected,MCU,Not affected,MCU+Software,Not affected,Software,Software,MCU,MCU+Software,MCU+Software,Software,MCU+Software,Software,Not affected,Not affected,Not affected,Not affected,Hardware+Software,Not affected,Not affected,Hardware+Software,Software
06_8FH,5 - 6 - 7 - 8,1. Sapphire Rapids - 2. Sapphire Rapids Edge Enhanced (Golden Cove),806F5 - 806F6 - 806F7 - 806F8,0x2b000603,Software,MCU,Not Affected,Not affected,BIOS+MCU,MCU,MCU,MCU,Not affected,Software,Hardware+Software,Not affected,Hardware+Software,Not affected,Not affected,Not affected,Hardware+Software,Hardware+Software,Not affected,Not affected,Software,Software,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,Hardware+Software,Not affected,Not affected,Hardware+Software,Software
06_8FH,5 - 6 - 8,Sapphire Rapids (Golden Cove) - Sapphire Rapids HBM,806F5 - 806F6 - 806F8,0x2c0003d3,Software,MCU,Not Affected,Not affected,BIOS+MCU,MCU,MCU,Not affected,Not affected,Software,Hardware+Software,Not affected,Hardware+Software,Not affected,Not affected,Not affected,Hardware+Software,Hardware+Software,Not affected,Not affected,Software,Software,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,Hardware+Software,Not affected,Not affected,Hardware+Software,Software
06_96H,All,Elkhart Lake (Tremont),90660 - 90661,0x1A,Not Affected,Not Affected,Not Affected,MCU+Software,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,MCU+Software,Not affected,Not affected,Software,Software,Not affected,MCU,Software,Software,Not affected,Not affected,MCU,MCU,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,Hardware+Software,Not affected,Not affected,Hardware+Software,Software
06_97H,2,Alder Lake S (Golden Cove - Gracemont),90672,0x37,Not Affected,Not Affected,Not Affected,MCU+Software,Not affected,MCU,MCU,MCU,Not affected,Software,Software,Not affected,Not affected,Not affected,Not affected,Not affected,MCU+Software,MCU+Software,Not affected,Not affected,Software,Software,Not affected,Not affected,Not affected,MCU,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,Hardware+Software,Not affected,Not affected,Hardware+Software,Software
06_97H,5,Alder Lake S (Golden Cove - Gracemont),90675,0x37,Not Affected,Not Affected,Not Affected,MCU+Software,Not affected,MCU,MCU,MCU,Not affected,Software,Software,Not affected,Not affected,Not affected,Not affected,Not affected,MCU+Software,MCU+Software,Not affected,Not affected,Software,Software,Not affected,Not affected,Not affected,MCU,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,Hardware+Software,Not affected,Not affected,Hardware+Software,Software
06_97H,5,Catlow (Golden Cove),90675,0x37,Not Affected,Not Affected,Not Affected,Not affected,Not affected,MCU,MCU,MCU,Not affected,Software,Software,Not affected,Not affected,Not affected,Not affected,Not affected,MCU+Software,MCU+Software,Not affected,Not affected,Software,Software,Not affected,Not affected,Not affected,MCU,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Not affected,Software,Not affected,Not affected,Not affected,Not affected,Hardware+Software,Not affected,Not affected,Hardware+Software,Software
